Topic,Primary owner URL,Primary role,Primary audience,Primary intent,Why selected,Previous owner if different,Phase 1 evidence,Search evidence if available,Supporting URLs,Source-study URLs,Practice URLs,Utility/recurring URLs,Ownership confidence,Human review required
Quotes,https://echobuddha.com/quotes/,HUB,RETURNING_READER,NAVIGATIONAL,The hub owns discovery of clearly labeled original Echo Buddha quote reflections.,Unchanged,114 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/ | https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/ | https://echobuddha.com/quotes/awareness/ | https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/ | https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ | https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ | https://echobuddha.com/quotes/awareness/thoughts-are-visitors/ | https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/ | https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/ | https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/ | https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/ | https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/ | https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/ | https://echobuddha.com/quotes/compassion/gentle-self-compassion/ | https://echobuddha.com/quotes/compassion/ | https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/ | https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/ | https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/ | https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/ | https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/ | https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/ | https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/ | https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/ | https://echobuddha.com/quotes/impermanence/ | https://echobuddha.com/quotes/impermanence/meet-change-softly/ | https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/ | https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/ | https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/ | https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/ | https://echobuddha.com/quotes/letting-go/caring-without-clinging/ | https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/ | https://echobuddha.com/quotes/letting-go/ | https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/ | https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/ | https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/ | https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/ | https://echobuddha.com/quotes/letting-go/soften-around-stress/ | https://echobuddha.com/quotes/letting-go/where-attachment-begins/ | https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/ | https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/ | https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/ | https://echobuddha.com/quotes/meditation/few-quiet-minutes/ | https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/ | https://echobuddha.com/quotes/meditation/ | https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/ | https://echobuddha.com/quotes/meditation/meditation-is-returning/ | https://echobuddha.com/quotes/meditation/one-honest-breath/ | https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/ | https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/ | https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/ | https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/ | https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/ | https://echobuddha.com/quotes/mindfulness/gratitude-notices-enough/ | https://echobuddha.com/quotes/mindfulness/ground-yourself-gently/ | https://echobuddha.com/quotes/mindfulness/ | https://echobuddha.com/quotes/mindfulness/listen-before-answering/ | https://echobuddha.com/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ | https://echobuddha.com/quotes/mindfulness/peace-begins-with-attention/ | https://echobuddha.com/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/ | https://echobuddha.com/quotes/mindfulness/present-moment-one-step/ | https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/ | https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/ | https://echobuddha.com/quotes/patience/be-patient-with-the-part-of-you-that-is/ | https://echobuddha.com/quotes/patience/family-kindness-and-patience/ | https://echobuddha.com/quotes/patience/growth-is-quiet-work-often-invisible-until-the-season/ | https://echobuddha.com/quotes/patience/ | https://echobuddha.com/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/ | https://echobuddha.com/quotes/patience/patience-is-the-strength-to-remain-present-while-life/ | https://echobuddha.com/quotes/patience/patience-softens-the-wait/ | https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/ | https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/ | https://echobuddha.com/quotes/practice/do-not-wait-to-feel-ready-before-choosing-what/ | https://echobuddha.com/quotes/practice/eightfold-path-daily-choices/ | https://echobuddha.com/quotes/practice/ | https://echobuddha.com/quotes/practice/mindfulness-at-work-breath/ | https://echobuddha.com/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/ | https://echobuddha.com/quotes/practice/right-intention-turns-the-heart/ | https://echobuddha.com/quotes/practice/small-actions-shape-the-mind/ | https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/ | https://echobuddha.com/quotes/practice/the-smallest-wholesome-action-is-larger-than-the-finest/ | https://echobuddha.com/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/ | https://echobuddha.com/quotes/practice/your-next-response-is-always-part-of-the-path/ | https://echobuddha.com/quotes/renewal/a-new-direction-can-start-with-one-different-choice/ | https://echobuddha.com/quotes/renewal/begin-again-gently-the-breath-is-always-willing/ | https://echobuddha.com/quotes/renewal/begin-again-without-shame/ | https://echobuddha.com/quotes/renewal/begin-again-without-turning-yesterday-into-a-sentence/ | https://echobuddha.com/quotes/renewal/evening-release-reflection/ | https://echobuddha.com/quotes/renewal/gentle-hope-keeps-walking/ | https://echobuddha.com/quotes/renewal/ | https://echobuddha.com/quotes/renewal/morning-is-not-the-only-time-a-life-can/ | https://echobuddha.com/quotes/renewal/one-calm-morning-intention/ | https://echobuddha.com/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/ | https://echobuddha.com/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/ | https://echobuddha.com/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/ | https://echobuddha.com/quotes/wisdom/contentment-with-what-is-here/ | https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/ | https://echobuddha.com/quotes/wisdom/ | https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/ | https://echobuddha.com/quotes/wisdom/knowing-when-not-to-speak-is-also-a-form/ | https://echobuddha.com/quotes/wisdom/right-speech-with-kindness/ | https://echobuddha.com/quotes/wisdom/simplicity-clears-the-room/ | https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/ | https://echobuddha.com/quotes/wisdom/understanding-suffering-honestly/ | https://echobuddha.com/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/ | https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/ | https://echobuddha.com/quotes/wisdom/wise-silence/,,,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/ | https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/ | https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/ | https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ | https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ | https://echobuddha.com/quotes/awareness/thoughts-are-visitors/ | https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/ | https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/ | https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/ | https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/ | https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/ | https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/ | https://echobuddha.com/quotes/compassion/gentle-self-compassion/ | https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/ | https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/ | https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/ | https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/ | https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/ | https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/ | https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/ | https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/ | https://echobuddha.com/quotes/impermanence/meet-change-softly/ | https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/ | https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/ | https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/ | https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/ | https://echobuddha.com/quotes/letting-go/caring-without-clinging/ | https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/ | https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/ | https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/ | https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/ | https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/ | https://echobuddha.com/quotes/letting-go/soften-around-stress/ | https://echobuddha.com/quotes/letting-go/where-attachment-begins/ | https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/ | https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/ | https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/ | https://echobuddha.com/quotes/meditation/few-quiet-minutes/ | https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/ | https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/ | https://echobuddha.com/quotes/meditation/meditation-is-returning/ | https://echobuddha.com/quotes/meditation/one-honest-breath/ | https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/ | https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/ | https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/ | https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/ | https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/ | https://echobuddha.com/quotes/mindfulness/gratitude-notices-enough/ | https://echobuddha.com/quotes/mindfulness/ground-yourself-gently/ | https://echobuddha.com/quotes/mindfulness/listen-before-answering/ | https://echobuddha.com/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ | https://echobuddha.com/quotes/mindfulness/peace-begins-with-attention/ | https://echobuddha.com/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/ | https://echobuddha.com/quotes/mindfulness/present-moment-one-step/ | https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/ | https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/ | https://echobuddha.com/quotes/patience/be-patient-with-the-part-of-you-that-is/ | https://echobuddha.com/quotes/patience/family-kindness-and-patience/ | https://echobuddha.com/quotes/patience/growth-is-quiet-work-often-invisible-until-the-season/ | https://echobuddha.com/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/ | https://echobuddha.com/quotes/patience/patience-is-the-strength-to-remain-present-while-life/ | https://echobuddha.com/quotes/patience/patience-softens-the-wait/ | https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/ | https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/ | https://echobuddha.com/quotes/practice/do-not-wait-to-feel-ready-before-choosing-what/ | https://echobuddha.com/quotes/practice/eightfold-path-daily-choices/ | https://echobuddha.com/quotes/practice/mindfulness-at-work-breath/ | https://echobuddha.com/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/ | https://echobuddha.com/quotes/practice/right-intention-turns-the-heart/ | https://echobuddha.com/quotes/practice/small-actions-shape-the-mind/ | https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/ | https://echobuddha.com/quotes/practice/the-smallest-wholesome-action-is-larger-than-the-finest/ | https://echobuddha.com/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/ | https://echobuddha.com/quotes/practice/your-next-response-is-always-part-of-the-path/ | https://echobuddha.com/quotes/renewal/a-new-direction-can-start-with-one-different-choice/ | https://echobuddha.com/quotes/renewal/begin-again-gently-the-breath-is-always-willing/ | https://echobuddha.com/quotes/renewal/begin-again-without-shame/ | https://echobuddha.com/quotes/renewal/begin-again-without-turning-yesterday-into-a-sentence/ | https://echobuddha.com/quotes/renewal/evening-release-reflection/ | https://echobuddha.com/quotes/renewal/gentle-hope-keeps-walking/ | https://echobuddha.com/quotes/renewal/morning-is-not-the-only-time-a-life-can/ | https://echobuddha.com/quotes/renewal/one-calm-morning-intention/ | https://echobuddha.com/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/ | https://echobuddha.com/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/ | https://echobuddha.com/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/ | https://echobuddha.com/quotes/wisdom/contentment-with-what-is-here/ | https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/ | https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/ | https://echobuddha.com/quotes/wisdom/knowing-when-not-to-speak-is-also-a-form/ | https://echobuddha.com/quotes/wisdom/right-speech-with-kindness/ | https://echobuddha.com/quotes/wisdom/simplicity-clears-the-room/ | https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/ | https://echobuddha.com/quotes/wisdom/understanding-suffering-honestly/ | https://echobuddha.com/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/ | https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/ | https://echobuddha.com/quotes/wisdom/wise-silence/,High,No
Daily Reflections,https://echobuddha.com/daily-reflections/,HUB,RETURNING_READER,RECURRING_USER,The hub owns the returning reflection experience; detail pages do not own broad teaching queries.,Unchanged,31 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,https://echobuddha.com/daily-reflections/anger-as-a-signal/ | https://echobuddha.com/daily-reflections/begin-again-without-shame/ | https://echobuddha.com/daily-reflections/compassion-begins-nearby/ | https://echobuddha.com/daily-reflections/enough-for-this-moment/ | https://echobuddha.com/daily-reflections/evening-release/ | https://echobuddha.com/daily-reflections/family-patience/ | https://echobuddha.com/daily-reflections/forgiveness-without-approval/ | https://echobuddha.com/daily-reflections/gratitude-for-change/ | https://echobuddha.com/daily-reflections/gratitude-notices-enough/ | https://echobuddha.com/daily-reflections/impermanence-softens-clinging/ | https://echobuddha.com/daily-reflections/kindness-with-boundaries/ | https://echobuddha.com/daily-reflections/let-the-feeling-pass/ | https://echobuddha.com/daily-reflections/letting-go-keeps-care/ | https://echobuddha.com/daily-reflections/listen-before-answering/ | https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/ | https://echobuddha.com/daily-reflections/mindful-work/ | https://echobuddha.com/daily-reflections/morning-intention/ | https://echobuddha.com/daily-reflections/notice-before-fixing/ | https://echobuddha.com/daily-reflections/one-honest-breath/ | https://echobuddha.com/daily-reflections/one-step-on-the-path/ | https://echobuddha.com/daily-reflections/patience-before-anger-speaks/ | https://echobuddha.com/daily-reflections/rest-without-escape/ | https://echobuddha.com/daily-reflections/see-the-conditions/ | https://echobuddha.com/daily-reflections/simple-goodwill/ | https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/ | https://echobuddha.com/daily-reflections/soften-the-inner-argument/ | https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/ | https://echobuddha.com/daily-reflections/the-first-truth-is-kind/ | https://echobuddha.com/daily-reflections/thoughts-are-visitors/ | https://echobuddha.com/daily-reflections/walking-as-practice/,High,No
Right Livelihood,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,The lesson owns the path-factor meaning; the article owns modern-work application.,Unchanged,2 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/right-livelihood-modern-life/,,https://echobuddha.com/articles/right-livelihood-modern-life/,,High,No
Brahmaviharas,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,PRIMARY_PILLAR,BEGINNER,FOUNDATIONAL_INFORMATIONAL,"The lesson owns the four-quality overview while compassion, metta, and equanimity pages own individual topics.",Not previously explicit,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,HUB,BEGINNER,NAVIGATIONAL,The hub organizes foundational lessons whose individual concepts may have their own owners.,Unchanged,7 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/ | https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/ | https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/ | https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/ | https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/ | https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,,,,High,No
Buddhist Practice,https://echobuddha.com/articles/category/practice/,CATEGORY,PRACTITIONER,NAVIGATIONAL,The category organizes practical articles without owning their underlying Buddhist doctrines.,Not previously explicit,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Article Discovery,https://echobuddha.com/articles/,HUB,GENERAL_READER,NAVIGATIONAL,"The publication index owns article discovery, not any individual Buddhist teaching.",Unchanged,5 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/articles/category/buddhist-wisdom/ | https://echobuddha.com/articles/category/meditation/ | https://echobuddha.com/articles/category/mindfulness/ | https://echobuddha.com/articles/category/reflection/,,,,High,No
Learn Navigation,https://echobuddha.com/learn/,HUB,NEWCOMER,NAVIGATIONAL,"The Learn hub owns structured learning navigation across doctrine, dictionary, Dhammapada, and sutta paths.",Unchanged,3 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/learn/buddhist-resources/ | https://echobuddha.com/learn/questions-about-buddhism/,,,,High,No
Newcomer Orientation,https://echobuddha.com/start-here/,HUB,NEWCOMER,NAVIGATIONAL,Start Here helps a new visitor choose a route; it does not own the broad definition of Buddhism.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Mindful Living,https://echobuddha.com/mindful-living/,HUB,GENERAL_READER,NAVIGATIONAL,The hub organizes daily-life applications while doctrine remains owned by Learn or dedicated articles.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
Trust / Policy,https://echobuddha.com/about/,TRUST_POLICY,GENERAL_READER,TRUST,"About anchors publisher identity while each policy page retains a protected, non-SEO trust function.",Unchanged,12 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,https://echobuddha.com/authors/echo-buddha-editorial/ | https://echobuddha.com/buddhist-sources-and-citations/ | https://echobuddha.com/contact/ | https://echobuddha.com/corrections/ | https://echobuddha.com/disclaimer/ | https://echobuddha.com/editorial-policy/ | https://echobuddha.com/how-echo-buddha-creates-content/ | https://echobuddha.com/meditation-safety/ | https://echobuddha.com/privacy-policy/ | https://echobuddha.com/quote-attribution-policy/ | https://echobuddha.com/terms-of-use/,,,,High,"Yes — scope/source/identity, not owner selection"
Utility,https://echobuddha.com/tools/,UTILITY,RETURNING_READER,UTILITY,The tools hub owns functional practice utilities and does not own Buddhist teaching queries.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,https://echobuddha.com/tools/,High,No
Site Discovery,https://echobuddha.com/,HUB,NEWCOMER,NAVIGATIONAL,The homepage introduces the publication and routes readers to clear owners without becoming a doctrine pillar.,Unchanged,1 indexable pages assigned; Phase 1 overlap and page-decision registers reviewed.,STALE/INSUFFICIENT: repository GSC data ends 2026-08-02 and is not decisive.,,,,,High,No
