Topic cluster,Primary owner URL,Page URL,Page role,Relationship level,Link direction,Protected role,Future action,Evidence
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/authors/echo-buddha-editorial/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,HUMAN_REVIEW,"Phase 1: Built 2026-08-11T02:17:46.273Z; 268 words; 9 content headings; authored route; nearest n/a combined overlap 0.0%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/buddhist-sources-and-citations/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 295 words; 6 content headings; authored route; nearest /quote-attribution-policy/ combined overlap 20.6%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/contact/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 120 words; 4 content headings; authored route; nearest /corrections/ combined overlap 15.5%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/corrections/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 215 words; 7 content headings; authored route; nearest /contact/ combined overlap 15.5%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/anger-as-a-signal/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 310 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 73.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/begin-again-without-shame/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 307 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/compassion-begins-nearby/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 74.5%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/enough-for-this-moment/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/evening-release/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/family-patience/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/forgiveness-without-approval/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/metta-for-a-difficult-person/ combined overlap 75.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/gratitude-for-change/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 290 words; 12 content headings; authored route; nearest /daily-reflections/impermanence-softens-clinging/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/gratitude-notices-enough/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 74.3%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/impermanence-softens-clinging/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 297 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-for-change/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1782 words; 36 content headings; authored route; nearest /quotes/ combined overlap 20.6%; external source links 0; role review: HUB; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/kindness-with-boundaries/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 302 words; 12 content headings; authored route; nearest /daily-reflections/rest-without-escape/ combined overlap 76.0%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/let-the-feeling-pass/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 318 words; 12 content headings; authored route; nearest /daily-reflections/simple-goodwill/ combined overlap 73.4%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/letting-go-keeps-care/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 298 words; 12 content headings; authored route; nearest /daily-reflections/forgiveness-without-approval/ combined overlap 73.2%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/listen-before-answering/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/speech-can-reduce-suffering/ combined overlap 74.9%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/metta-for-a-difficult-person/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 12 content headings; authored route; nearest /daily-reflections/forgiveness-without-approval/ combined overlap 75.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/mindful-work/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 304 words; 12 content headings; authored route; nearest /daily-reflections/one-step-on-the-path/ combined overlap 77.9%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/morning-intention/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/one-step-on-the-path/ combined overlap 75.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/notice-before-fixing/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 300 words; 12 content headings; authored route; nearest /daily-reflections/morning-intention/ combined overlap 73.9%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/one-honest-breath/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/evening-release/ combined overlap 73.5%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/one-step-on-the-path/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 314 words; 12 content headings; authored route; nearest /daily-reflections/mindful-work/ combined overlap 77.9%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/patience-before-anger-speaks/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 333 words; 12 content headings; authored route; nearest /daily-reflections/speech-can-reduce-suffering/ combined overlap 72.9%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/rest-without-escape/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 311 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 76.0%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/see-the-conditions/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/soften-the-inner-argument/ combined overlap 73.5%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/simple-goodwill/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 292 words; 12 content headings; authored route; nearest /daily-reflections/family-patience/ combined overlap 74.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 306 words; 12 content headings; authored route; nearest /daily-reflections/one-step-on-the-path/ combined overlap 75.7%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/soften-the-inner-argument/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 74.3%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/speech-can-reduce-suffering/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 299 words; 12 content headings; authored route; nearest /daily-reflections/kindness-with-boundaries/ combined overlap 75.6%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/the-first-truth-is-kind/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 303 words; 12 content headings; authored route; nearest /daily-reflections/gratitude-notices-enough/ combined overlap 73.8%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/thoughts-are-visitors/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 305 words; 12 content headings; authored route; nearest /daily-reflections/let-the-feeling-pass/ combined overlap 72.0%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Daily Reflections,https://echobuddha.com/daily-reflections/,https://echobuddha.com/daily-reflections/walking-as-practice/,RECURRING_USER_CONTENT,LEVEL 4,RECURRING_USER_CONTENT → primary owner,No,NOINDEX_REVIEW,Phase 1: Built 2026-08-11T02:17:46.273Z; 305 words; 12 content headings; authored route; nearest /daily-reflections/compassion-begins-nearby/ combined overlap 72.1%; external source links 0; role review: RECURRING_USER_CONTENT; owner selection: The hub owns the returning reflection experience; detail pages do not own broad teaching queries.
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/disclaimer/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 221 words; 6 content headings; authored route; nearest /meditation-safety/ combined overlap 18.0%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/editorial-policy/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 576 words; 10 content headings; authored route; nearest /how-echo-buddha-creates-content/ combined overlap 19.4%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Trust / Policy,https://echobuddha.com/about/,https://echobuddha.com/how-echo-buddha-creates-content/,TRUST_POLICY,LEVEL 3,TRUST_POLICY → primary owner,Yes,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 347 words; 7 content headings; authored route; nearest /editorial-policy/ combined overlap 19.4%; external source links 0; role review: TRUST_POLICY; owner selection: About anchors publisher identity while each policy page retains a protected, non-SEO trust function."
Site Discovery,https://echobuddha.com/,https://echobuddha.com/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1002 words; 26 content headings; authored route; nearest n/a combined overlap 0.0%; external source links 0; role review: HUB; owner selection: The homepage introduces the publication and routes readers to clear owners without becoming a doctrine pillar.
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 312 words; 12 content headings; authored route; nearest /learn/buddhism-101/how-to-practice-buddhism-at-home/ combined overlap 40.7%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 941 words; 18 content headings; authored route; nearest /learn/buddhism-101/three-marks-of-existence/ combined overlap 32.4%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 938 words; 19 content headings; authored route; nearest /learn/buddhism-101/three-marks-of-existence/ combined overlap 34.5%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 364 words; 9 content headings; authored route; nearest /learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/ combined overlap 32.3%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Five Precepts,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1244 words; 20 content headings; authored route; nearest /learn/buddhism-101/right-livelihood-buddhism/ combined overlap 33.8%; external source links 1; role review: PRIMARY_PILLAR; owner selection: The lesson owns the ethical framework; practical articles show application without redefining it.
Brahmaviharas,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 367 words; 9 content headings; authored route; nearest /learn/buddhism-101/threefold-training-sila-samadhi-panna/ combined overlap 37.9%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The lesson owns the four-quality overview while compassion, metta, and equanimity pages own individual topics."
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,PRACTICAL_APPLICATION,LEVEL 3,PRACTICAL_APPLICATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 343 words; 12 content headings; authored route; nearest /learn/buddhism-101/what-is-buddhism/ combined overlap 44.4%; external source links 1; role review: PRACTICAL_APPLICATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/,HUB,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 612 words; 3 content headings; authored route; nearest /learn/buddhist-dictionary/ combined overlap 17.3%; external source links 2; role review: HUB; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 384 words; 9 content headings; authored route; nearest /learn/buddhism-101/threefold-training-sila-samadhi-panna/ combined overlap 38.5%; external source links 1; role review: BEGINNER_FOUNDATION; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Right Livelihood,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 1088 words; 19 content headings; authored route; nearest /learn/buddhism-101/five-precepts-buddhism/ combined overlap 33.8%; external source links 2; role review: PRIMARY_PILLAR; owner selection: The lesson owns the path-factor meaning; the article owns modern-work application.
Four Noble Truths,https://echobuddha.com/learn/four-noble-truths/,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 368 words; 12 content headings; authored route; nearest /learn/buddhism-101/what-is-impermanence/ combined overlap 45.9%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The dedicated Learn page provides the clearest broad doctrinal route and parent for source and application pages.
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 392 words; 12 content headings; authored route; nearest /learn/buddhism-101/the-three-jewels-explained/ combined overlap 46.5%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Sangha,https://echobuddha.com/articles/what-is-sangha-buddhist-community/,https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 366 words; 12 content headings; authored route; nearest /learn/buddhism-101/the-noble-eightfold-path-explained/ combined overlap 46.5%; external source links 1; role review: SUPPORTING_EXPLANATION; owner selection: It provides the fuller community explanation; the dictionary and temple guide have narrower roles.
Buddhist Foundations,https://echobuddha.com/learn/buddhism-101/,https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 945 words; 18 content headings; authored route; nearest /learn/buddhism-101/what-is-impermanence/ combined overlap 35.4%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: The hub organizes foundational lessons whose individual concepts may have their own owners.
Noble Eightfold Path,https://echobuddha.com/learn/eightfold-path/,https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,SUPPORTING_EXPLANATION,LEVEL 2,SUPPORTING_EXPLANATION → primary owner,No,IMPROVE,"Phase 1: Built 2026-08-11T02:17:46.273Z; 403 words; 9 content headings; authored route; nearest /learn/buddhist-dictionary/sutta/ combined overlap 39.6%; external source links 2; role review: SUPPORTING_EXPLANATION; owner selection: The dedicated Learn page owns the whole-path framework and can route readers to factors, sources, and practice."
Beginner Buddhism,https://echobuddha.com/learn/buddhism-for-beginners/,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,BEGINNER_FOUNDATION,LEVEL 2,BEGINNER_FOUNDATION → primary owner,No,IMPROVE,Phase 1: Built 2026-08-11T02:17:46.273Z; 393 words; 12 content headings; authored route; nearest /learn/buddhism-101/how-to-practice-buddhism-at-home/ combined overlap 44.4%; external source links 2; role review: BEGINNER_FOUNDATION; owner selection: The strongest structured entry into basic Buddhist teaching and practice.
Impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 352 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/anicca/ combined overlap 49.1%; external source links 1; role review: PRIMARY_PILLAR; owner selection: The lesson is the clearest broad beginner owner; anicca definitions and change applications remain subordinate.
Karma,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,Phase 1: Built 2026-08-11T02:17:46.273Z; 351 words; 12 content headings; authored route; nearest /learn/buddhist-dictionary/karma/ combined overlap 46.0%; external source links 1; role review: PRIMARY_PILLAR; owner selection: The lesson owns the broad Buddhist meaning; the article applies intention and consequence to daily choices.
Mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,PRIMARY_PILLAR,LEVEL 1,Owner → best support pages,Yes,KEEP,"Phase 1: Built 2026-08-11T02:17:46.273Z; 351 words; 12 content headings; authored route; nearest /learn/buddhism-101/what-is-impermanence/ combined overlap 48.0%; external source links 1; role review: PRIMARY_PILLAR; owner selection: The lesson owns Buddhist mindfulness meaning; dictionary, comparison, and routine pages remain narrower."
