route,theme,quote,materialChange,action,indexabilityClass,finalRobots
/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/,Awareness,What you can observe clearly no longer controls you in quite the same way.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/,Awareness,"Feelings are honest about their presence, not always about their conclusions.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/,Awareness,Notice the habit before trying to become someone without it.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,Awareness,"When the mind tightens, let the body be your first teacher.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/,Awareness,Clear seeing begins with the courage to stop looking away.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/renewal/begin-again-without-turning-yesterday-into-a-sentence/,Renewal,Begin again without turning yesterday into a sentence.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/a-new-direction-can-start-with-one-different-choice/,Renewal,A new direction can start with one different choice.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/,Renewal,The path welcomes your return more often than pride allows.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/,Renewal,You are allowed to learn slowly and still be changing.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/morning-is-not-the-only-time-a-life-can/,Renewal,Morning is not the only time a life can begin again.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/repair-what-you-can-forgive-what-you-cannot-redo/,Renewal,"Repair what you can, forgive what you cannot redo, and continue with care.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/,Renewal,A mistake becomes a teacher when honesty enters the room.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/renewal/do-not-confuse-an-old-pattern-with-an-unchangeable/,Renewal,Do not confuse an old pattern with an unchangeable nature.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/renewal/hope-can-be-quiet-and-still-keep-walking/,Renewal,Hope can be quiet and still keep walking.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/renewal/each-conscious-breath-is-a-small-vote-for-beginning/,Renewal,Each conscious breath is a small vote for beginning again.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",retain-noindex-useful-internal-story,"noindex, follow"
/quotes/mindfulness/begin-the-day-with-awareness/,Mindfulness,Begin the day by meeting one moment before you meet every plan.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/one-honest-breath/,Meditation,One honest breath can bring the wandering mind back home.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/peace-begins-with-attention/,Mindfulness,Peace begins when attention stops arguing with this moment.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/thoughts-pass-without-commanding-you/,Awareness,A calm mind lets thoughts pass without becoming their servant.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/meditation-is-returning/,Meditation,Meditation is the art of returning without making absence a failure.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/meditation/few-quiet-minutes/,Meditation,A few quiet minutes can open a kinder door into the day.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/loving-kindness-without-harm/,Compassion,"Loving-kindness begins by wishing no one, including yourself, more harm.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/compassion-sees-pain-clearly/,Compassion,Compassion looks for the wound without excusing the unkind word.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/gentle-self-compassion/,Compassion,Speak to yourself as someone still worthy of gentle instruction.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/compassion/kindness-as-quiet-practice/,Compassion,Kindness is a quiet practice repeated when no one applauds.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/patience-softens-the-wait/,Patience,Patience softens the wait without demanding that life hurry.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/one-breath-before-anger-replies/,Awareness,Anger becomes wiser when one breath stands between feeling and reply.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/forgiveness-without-approving-harm/,Letting Go,Forgiveness releases the poison without calling the wound acceptable.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/caring-without-clinging/,Letting Go,Letting go means caring fully without closing your hand around life.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/open-hands-non-attachment/,Letting Go,Hold life with open hands; what is precious was never owned.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/change-is-how-life-continues/,Impermanence,Change is not an interruption; it is the way life continues.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/impermanence/meet-change-softly/,Impermanence,Meet change softly; even endings deserve an unclenched heart.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/acceptance-before-next-step/,Awareness,Acceptance names the moment clearly before choosing the next kind step.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/karma-begins-in-intention/,Wisdom,Karma begins in intention before it ripens into action.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/right-speech-with-kindness/,Wisdom,"Right speech lets truth travel with kindness, usefulness, and timing.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/wise-silence/,Wisdom,Wise silence is the space where unhelpful words lose their strength.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/listen-before-answering/,Mindfulness,Listen long enough for another heart to become more than your answer.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/thoughts-are-visitors/,Awareness,Thoughts may visit often; you do not have to host each one.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/ground-yourself-gently/,Mindfulness,Ground yourself gently; calm does not grow from being forced.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/soften-around-stress/,Letting Go,Stress loosens when the hand around every pressure softens first.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/one-calm-morning-intention/,Renewal,"Let the morning begin with one calm intention, not every old worry.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/evening-release-reflection/,Renewal,"At day’s end, release what is finished and bless what was learned.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/gratitude-notices-enough/,Mindfulness,Gratitude begins when enough is noticed before more is requested.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/simplicity-clears-the-room/,Wisdom,Simplicity clears the room so the heart can hear what matters.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/contentment-with-what-is-here/,Wisdom,Contentment is the quiet friendship with what is already here.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/wisdom-sees-clearly/,Wisdom,Wisdom sees clearly before it tries to stand above anyone.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/right-intention-turns-the-heart/,Practice,Right intention turns the heart before the feet choose a road.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/eightfold-path-daily-choices/,Practice,The Eightfold Path is walked through today’s smallest honest choices.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/understanding-suffering-honestly/,Wisdom,Understanding suffering begins when we stop pretending it is not here.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/letting-go/where-attachment-begins/,Letting Go,Attachment begins where care forgets how to breathe.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/begin-again-without-shame/,Renewal,Begin again gently; shame is not required for growth.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/renewal/gentle-hope-keeps-walking/,Renewal,Hope can be gentle and still know how to keep walking.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/awareness/feelings-without-the-wheel/,Awareness,Emotional balance lets feelings speak without handing them the wheel.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/mindfulness-at-work-breath/,Practice,"Bring one clear breath to work, and the task becomes practice.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/patience/family-kindness-and-patience/,Patience,Family kindness is patience practiced with the people who know our edges.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/wisdom/difficult-people-and-boundaries/,Wisdom,Difficult people can teach boundaries without teaching hatred.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/mindfulness/present-moment-one-step/,Mindfulness,"The present moment is met one breath, one sound, one step at a time.",yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
/quotes/practice/small-actions-shape-the-mind/,Practice,Daily practice shapes the mind through small actions faithfully repeated.,yes,"Added visible quote-origin label, quote-specific source note, schema abstract/credit text, more specific daily-life and practice framing, and reduced repeated template paragraphs.",indexable-after-generated-quality-improvement,"index, follow (implicit)"
