cluster ID,affected family,affected URLs,repeated fragment,fragment type,exact/near match,prevalence,whether legitimate UI,whether substantive,Search-equity sensitivity,action
RP-031,QUOTE_STORY,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/ | https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/ | https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/ | https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/ | https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/ | https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ | https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/ | https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ | https://echobuddha.com/quotes/awareness/thoughts-are-visitors/ | https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/ | https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/ | https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/ | https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/ | https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/ | https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/ | https://echobuddha.com/quotes/compassion/compassion-grows-where-judgment-loosens-its-grip/ | https://echobuddha.com/quotes/compassion/compassion-sees-pain-clearly/ | https://echobuddha.com/quotes/compassion/gentle-self-compassion/ | https://echobuddha.com/quotes/compassion/kindness-as-quiet-practice/ | https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/ | https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/ | https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/ | https://echobuddha.com/quotes/compassion/loving-kindness-without-harm/ | https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/ | https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/ | https://echobuddha.com/quotes/compassion/the-heart-becomes-spacious-each-time-it-chooses-care/ | https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/ | https://echobuddha.com/quotes/compassion/when-you-cannot-remove-anothers-burden-do-not-add/ | https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/ | https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/ | https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/ | https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/ | https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/ | https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/ | https://echobuddha.com/quotes/impermanence/meet-change-softly/ | https://echobuddha.com/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/ | https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/ | https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/ | https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/ | https://echobuddha.com/quotes/impermanence/what-changes-is-not-always-lost-sometimes-it-is/ | https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/ | https://echobuddha.com/quotes/letting-go/caring-without-clinging/ | https://echobuddha.com/quotes/letting-go/forgiveness-without-approving-harm/ | https://echobuddha.com/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/ | https://echobuddha.com/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/ | https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/ | https://echobuddha.com/quotes/letting-go/open-hands-non-attachment/ | https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/ | https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/ | https://echobuddha.com/quotes/letting-go/release-the-outcome-but-keep-the-care-you-bring/ | https://echobuddha.com/quotes/letting-go/soften-around-stress/ | https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/ | https://echobuddha.com/quotes/letting-go/where-attachment-begins/ | https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/ | https://echobuddha.com/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/ | https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/ | https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/ | https://echobuddha.com/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/ | https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/ | https://echobuddha.com/quotes/meditation/few-quiet-minutes/ | https://echobuddha.com/quotes/meditation/follow-the-breath-lightly-as-you-would-listen-to/ | https://echobuddha.com/quotes/meditation/meditation-is-not-leaving-life-it-is-learning-how/ | https://echobuddha.com/quotes/meditation/meditation-is-returning/ | https://echobuddha.com/quotes/meditation/one-honest-breath/ | https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/ | https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/ | https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/ | https://echobuddha.com/quotes/meditation/the-bell-fades-but-careful-listening-can-continue/ | https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/ | https://echobuddha.com/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/ | https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/ | https://echobuddha.com/quotes/mindfulness/a-wandering-mind-is-not-a-failed-mind-it/ | https://echobuddha.com/quotes/mindfulness/awareness-begins-when-hurry-loosens-its-hold/ | https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/ | https://echobuddha.com/quotes/mindfulness/give-one-ordinary-task-the-dignity-of-your-full/ | https://echobuddha.com/quotes/mindfulness/gratitude-notices-enough/ | https://echobuddha.com/quotes/mindfulness/ground-yourself-gently/ | https://echobuddha.com/quotes/mindfulness/listen-before-answering/ | https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/ | https://echobuddha.com/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ | https://echobuddha.com/quotes/mindfulness/peace-begins-with-attention/ | https://echobuddha.com/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/ | https://echobuddha.com/quotes/mindfulness/present-moment-one-step/ | https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/ | https://echobuddha.com/quotes/mindfulness/the-more-clearly-you-notice-life-the-less-carelessly/ | https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/ | https://echobuddha.com/quotes/patience/a-difficult-moment-becomes-heavier-when-we-demand-that/ | https://echobuddha.com/quotes/patience/be-patient-with-the-part-of-you-that-is/ | https://echobuddha.com/quotes/patience/family-kindness-and-patience/ | https://echobuddha.com/quotes/patience/growth-is-quiet-work-often-invisible-until-the-season/ | https://echobuddha.com/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/ | https://echobuddha.com/quotes/patience/patience-is-the-strength-to-remain-present-while-life/ | https://echobuddha.com/quotes/patience/patience-makes-room-for-truth-to-arrive-without-force/ | https://echobuddha.com/quotes/patience/patience-softens-the-wait/ | https://echobuddha.com/quotes/patience/some-answers-become-clear-only-after-the-mind-stops/ | https://echobuddha.com/quotes/patience/stay-gentle-with-beginnings-they-are-carrying-more-than/ | https://echobuddha.com/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/ | https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/ | https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/ | https://echobuddha.com/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/ | https://echobuddha.com/quotes/practice/begin-with-what-is-possible-then-return-tomorrow/ | https://echobuddha.com/quotes/practice/bring-the-teaching-into-the-place-where-you-are/ | https://echobuddha.com/quotes/practice/daily-practice-turns-understanding-from-an-idea-into-a/ | https://echobuddha.com/quotes/practice/do-not-wait-to-feel-ready-before-choosing-what/ | https://echobuddha.com/quotes/practice/eightfold-path-daily-choices/ | https://echobuddha.com/quotes/practice/mindfulness-at-work-breath/ | https://echobuddha.com/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/ | https://echobuddha.com/quotes/practice/right-intention-turns-the-heart/ | https://echobuddha.com/quotes/practice/small-actions-shape-the-mind/ | https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/ | https://echobuddha.com/quotes/practice/the-path-is-shaped-by-what-you-repeat-when/ | https://echobuddha.com/quotes/practice/the-smallest-wholesome-action-is-larger-than-the-finest/ | https://echobuddha.com/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/ | https://echobuddha.com/quotes/practice/your-next-response-is-always-part-of-the-path/ | https://echobuddha.com/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/ | https://echobuddha.com/quotes/renewal/a-new-direction-can-start-with-one-different-choice/ | https://echobuddha.com/quotes/renewal/begin-again-gently-the-breath-is-always-willing/ | https://echobuddha.com/quotes/renewal/begin-again-without-shame/ | https://echobuddha.com/quotes/renewal/begin-again-without-turning-yesterday-into-a-sentence/ | https://echobuddha.com/quotes/renewal/do-not-confuse-an-old-pattern-with-an-unchangeable/ | https://echobuddha.com/quotes/renewal/each-conscious-breath-is-a-small-vote-for-beginning/ | https://echobuddha.com/quotes/renewal/evening-release-reflection/ | https://echobuddha.com/quotes/renewal/gentle-hope-keeps-walking/ | https://echobuddha.com/quotes/renewal/hope-can-be-quiet-and-still-keep-walking/ | https://echobuddha.com/quotes/renewal/morning-is-not-the-only-time-a-life-can/ | https://echobuddha.com/quotes/renewal/one-calm-morning-intention/ | https://echobuddha.com/quotes/renewal/repair-what-you-can-forgive-what-you-cannot-redo/ | https://echobuddha.com/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/ | https://echobuddha.com/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/ | https://echobuddha.com/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/ | https://echobuddha.com/quotes/wisdom/a-useful-truth-is-carried-with-humility-not-used/ | https://echobuddha.com/quotes/wisdom/contentment-with-what-is-here/ | https://echobuddha.com/quotes/wisdom/difficult-people-and-boundaries/ | https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/ | https://echobuddha.com/quotes/wisdom/knowing-when-not-to-speak-is-also-a-form/ | https://echobuddha.com/quotes/wisdom/learn-from-discomfort-without-turning-suffering-into-an-identity/ | https://echobuddha.com/quotes/wisdom/right-speech-with-kindness/ | https://echobuddha.com/quotes/wisdom/see-the-conditions-behind-an-action-and-blame-may/ | https://echobuddha.com/quotes/wisdom/simplicity-clears-the-room/ | https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/ | https://echobuddha.com/quotes/wisdom/the-wise-heart-changes-course-when-clearer-seeing-arrives/ | https://echobuddha.com/quotes/wisdom/understanding-suffering-honestly/ | https://echobuddha.com/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/ | https://echobuddha.com/quotes/wisdom/wisdom-is-less-interested-in-winning-than-in-ending/ | https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/ | https://echobuddha.com/quotes/wisdom/wise-silence/,Echo Buddha quote stories use original reflection language unless a page clearly states another source. Read the Quote Attribution Policy for attribution standards and Corrections to report a source or origin concern.,PARAGRAPH,EXACT,153,YES_OR_TRUST_INFRASTRUCTURE,NO_OR_BOUNDARY_CONTEXT,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-032,QUOTE_STORY,https://echobuddha.com/quotes/awareness/acceptance-before-next-step/ | https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/ | https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/ | https://echobuddha.com/quotes/awareness/feelings-without-the-wheel/ | https://echobuddha.com/quotes/awareness/look-beneath-the-reaction-and-you-may-find-a/ | https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ | https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/ | https://echobuddha.com/quotes/awareness/one-breath-before-anger-replies/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ | https://echobuddha.com/quotes/awareness/thoughts-are-visitors/ | https://echobuddha.com/quotes/awareness/thoughts-pass-without-commanding-you/ | https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/ | https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/,"These awareness quotes encourage honest observation of thoughts, feelings, reactions, and the physical signals that often appear before words.",PARAGRAPH,EXACT,16,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-033,QUOTE_STORY,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/ | https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/ | https://echobuddha.com/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/ | https://echobuddha.com/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/ | https://echobuddha.com/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/ | https://echobuddha.com/quotes/wisdom/learn-from-discomfort-without-turning-suffering-into-an-identity/,Use it during one decision where kindness needs both warmth and clarity.,PARAGRAPH,EXACT,7,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-034,QUOTE_STORY,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/awareness/notice-the-habit-before-trying-to-become-someone-without/ | https://echobuddha.com/quotes/renewal/you-are-allowed-to-learn-slowly-and-still-be/ | https://echobuddha.com/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/,Bring the sentence into one decision where kindness needs both warmth and clarity; let the quote shape one concrete response.,PARAGRAPH,EXACT,4,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-035,QUOTE_STORY,https://echobuddha.com/quotes/awareness/anger-asks-for-speed-awareness-asks-for-one-more/ | https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/ | https://echobuddha.com/quotes/compassion/kindness-does-not-need-an-audience-to-become-meaningful/ | https://echobuddha.com/quotes/compassion/to-understand-someone-is-not-to-excuse-harm-it/ | https://echobuddha.com/quotes/impermanence/the-fading-flower-does-not-make-its-blooming-less/ | https://echobuddha.com/quotes/letting-go/freedom-often-sounds-like-the-quiet-end-of-an/ | https://echobuddha.com/quotes/letting-go/letting-go-begins-by-admitting-how-tightly-you-are/ | https://echobuddha.com/quotes/letting-go/what-leaves-your-life-may-still-leave-wisdom-behind/ | https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/ | https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/ | https://echobuddha.com/quotes/meditation/do-not-search-meditation-for-a-special-self-notice/ | https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/ | https://echobuddha.com/quotes/patience/patience-makes-room-for-truth-to-arrive-without-force/ | https://echobuddha.com/quotes/practice/a-peaceful-life-is-built-from-peaceful-moments-practiced/ | https://echobuddha.com/quotes/renewal/a-new-direction-can-start-with-one-different-choice/ | https://echobuddha.com/quotes/renewal/morning-is-not-the-only-time-a-life-can/ | https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/ | https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/,What exact situation today would change if this quote guided the next sentence or action?,PARAGRAPH,EXACT,18,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-036,QUOTE_STORY,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/mindfulness/a-wandering-mind-is-not-a-failed-mind-it/ | https://echobuddha.com/quotes/mindfulness/return-to-the-breath-before-you-return-to-the/ | https://echobuddha.com/quotes/practice/begin-with-what-is-possible-then-return-tomorrow/ | https://echobuddha.com/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/ | https://echobuddha.com/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/ | https://echobuddha.com/quotes/renewal/begin-again-gently-the-breath-is-always-willing/ | https://echobuddha.com/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/,Use it during one conversation where the first reply is not the wisest reply.,PARAGRAPH,EXACT,8,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-037,QUOTE_STORY,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/compassion/offer-others-the-patience-you-hope-to-receive-on/ | https://echobuddha.com/quotes/patience/not-every-delay-is-an-obstacle-some-are-invitations/ | https://echobuddha.com/quotes/wisdom/what-feels-urgent-is-not-always-what-matters-most/,Use this quote during one conversation where the first reply is not the wisest reply; let the quote shape one concrete response.,PARAGRAPH,EXACT,4,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-038,QUOTE_STORY,https://echobuddha.com/quotes/awareness/awareness-does-not-remove-the-storm-it-keeps-you/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/ | https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/ | https://echobuddha.com/quotes/impermanence/hold-each-day-carefully-knowing-it-cannot-be-held/ | https://echobuddha.com/quotes/impermanence/no-season-is-asked-to-remain-in-order-to/ | https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/ | https://echobuddha.com/quotes/impermanence/todays-certainty-may-become-tomorrows-lesson-in-humility/ | https://echobuddha.com/quotes/letting-go/peace-enters-when-control-is-no-longer-the-price/ | https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/ | https://echobuddha.com/quotes/meditation/the-cushion-is-a-place-to-practice-returning-not/ | https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/ | https://echobuddha.com/quotes/mindfulness/notice-what-is-here-before-deciding-what-it-means/ | https://echobuddha.com/quotes/mindfulness/peace-grows-when-attention-stops-running-ahead-of-the/ | https://echobuddha.com/quotes/patience/stay-gentle-with-beginnings-they-are-carrying-more-than/ | https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/ | https://echobuddha.com/quotes/practice/begin-with-what-is-possible-then-return-tomorrow/ | https://echobuddha.com/quotes/practice/practice-becomes-real-when-it-enters-your-speech-and/ | https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/ | https://echobuddha.com/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/ | https://echobuddha.com/quotes/renewal/a-mistake-becomes-a-teacher-when-honesty-enters-the/ | https://echobuddha.com/quotes/renewal/hope-can-be-quiet-and-still-keep-walking/ | https://echobuddha.com/quotes/wisdom/wisdom-is-less-interested-in-winning-than-in-ending/,Which part of this quote feels easy to admire but harder to practice?,PARAGRAPH,EXACT,23,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-039,QUOTE_STORY,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/ | https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ | https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/ | https://echobuddha.com/quotes/mindfulness/listen-to-the-moment-before-filling-it-with-your/ | https://echobuddha.com/quotes/practice/daily-practice-turns-understanding-from-an-idea-into-a/ | https://echobuddha.com/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/ | https://echobuddha.com/quotes/renewal/repair-what-you-can-forgive-what-you-cannot-redo/ | https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/,Use it during one place where the body signals stress before the mind has words for it.,PARAGRAPH,EXACT,8,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-040,QUOTE_STORY,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/ | https://echobuddha.com/quotes/compassion/compassion-asks-what-hurts-before-it-asks-who-is/ | https://echobuddha.com/quotes/impermanence/acceptance-begins-where-the-argument-with-change-ends/ | https://echobuddha.com/quotes/impermanence/because-this-moment-will-pass-meet-it-while-it/ | https://echobuddha.com/quotes/meditation/a-short-sincere-practice-can-steady-a-long-and/ | https://echobuddha.com/quotes/practice/walk-slowly-enough-to-notice-where-your-life-is/,Bring the sentence into one place where the body signals stress before the mind has words for it; let the quote shape one concrete response.,PARAGRAPH,EXACT,6,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-041,QUOTE_STORY,https://echobuddha.com/quotes/awareness/clear-seeing-begins-with-the-courage-to-stop-looking/ | https://echobuddha.com/quotes/awareness/name-the-feeling-gently-and-it-may-stop-speaking/ | https://echobuddha.com/quotes/awareness/the-body-often-knows-you-are-overwhelmed-before-the/ | https://echobuddha.com/quotes/awareness/what-you-can-observe-clearly-no-longer-controls-you/ | https://echobuddha.com/quotes/awareness/when-the-mind-tightens-let-the-body-be-your/ | https://echobuddha.com/quotes/compassion/a-gentle-response-can-end-suffering-that-anger-would/ | https://echobuddha.com/quotes/compassion/before-judging-another-life-remember-how-much-of-your/ | https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/ | https://echobuddha.com/quotes/compassion/let-your-boundaries-be-clear-and-your-heart-remain/ | https://echobuddha.com/quotes/impermanence/change-takes-nothing-personally-it-simply-continues/ | https://echobuddha.com/quotes/impermanence/everything-changes-including-the-part-of-you-that-fears/ | https://echobuddha.com/quotes/letting-go/an-open-hand-can-care-for-what-a-clenched/ | https://echobuddha.com/quotes/letting-go/let-the-feeling-pass-through-without-building-it-a/ | https://echobuddha.com/quotes/letting-go/you-can-honor-the-past-without-asking-it-to/ | https://echobuddha.com/quotes/letting-go/you-do-not-betray-a-memory-by-allowing-yourself/ | https://echobuddha.com/quotes/meditation/every-return-from-distraction-strengthens-the-path-home/ | https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/ | https://echobuddha.com/quotes/meditation/when-stillness-feels-impossible-begin-by-noticing-the-restlessness/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ | https://echobuddha.com/quotes/mindfulness/the-present-moment-asks-for-your-attention-not-your/ | https://echobuddha.com/quotes/patience/be-patient-with-the-part-of-you-that-is/ | https://echobuddha.com/quotes/patience/some-answers-become-clear-only-after-the-mind-stops/ | https://echobuddha.com/quotes/patience/the-path-unfolds-at-the-pace-of-sincere-practice/ | https://echobuddha.com/quotes/patience/wait-long-enough-for-the-first-reaction-to-become/ | https://echobuddha.com/quotes/practice/daily-practice-turns-understanding-from-an-idea-into-a/ | https://echobuddha.com/quotes/practice/do-not-wait-to-feel-ready-before-choosing-what/ | https://echobuddha.com/quotes/renewal/each-conscious-breath-is-a-small-vote-for-beginning/ | https://echobuddha.com/quotes/wisdom/a-clear-mind-can-hold-two-truths-without-rushing/ | https://echobuddha.com/quotes/wisdom/a-useful-truth-is-carried-with-humility-not-used/ | https://echobuddha.com/quotes/wisdom/knowing-when-not-to-speak-is-also-a-form/,Where does this quote ask for a different response than the one habit usually offers?,PARAGRAPH,EXACT,30,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-042,QUOTE_STORY,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/ | https://echobuddha.com/quotes/practice/your-next-response-is-always-part-of-the-path/ | https://echobuddha.com/quotes/renewal/each-conscious-breath-is-a-small-vote-for-beginning/ | https://echobuddha.com/quotes/renewal/the-path-welcomes-your-return-more-often-than-pride/ | https://echobuddha.com/quotes/wisdom/a-useful-truth-is-carried-with-humility-not-used/ | https://echobuddha.com/quotes/wisdom/wisdom-sees-the-whole-fire-not-only-the-spark/,"Use it during one moment of waiting, uncertainty, or unfinished business.",PARAGRAPH,EXACT,8,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
RP-043,QUOTE_STORY,https://echobuddha.com/quotes/awareness/feelings-are-honest-about-their-presence-not-always-about/ | https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/ | https://echobuddha.com/quotes/compassion/small-kindnesses-often-reach-places-that-advice-cannot/ | https://echobuddha.com/quotes/letting-go/release-the-need-to-replay-what-can-no-longer/ | https://echobuddha.com/quotes/meditation/sit-with-the-day-as-it-is-before-asking/ | https://echobuddha.com/quotes/meditation/sit-without-demanding-silence-and-the-mind-will-teach/ | https://echobuddha.com/quotes/mindfulness/one-mindful-pause-can-change-the-direction-of-an/,"Test the meaning during one moment of waiting, uncertainty, or unfinished business; let the quote shape one concrete response.",PARAGRAPH,EXACT,7,NO,YES,LOW,RETAIN_EXCEPTION_OR_REMOVE_GENERIC_FILLER
