sourceId,pageUrl,claimOrTopicSupported,sourceTitle,sourceAuthor,translator,publicationOrInstitution,sourceType,buddhistTraditionOrTextualContext,canonicalReference,url,copyrightOrLicenseNote,accessDate,verificationStatus,reviewerNote
source:learn:buddhism-101:a-simple-daily-buddhist-practice,https://echobuddha.com/learn/buddhism-101/a-simple-daily-buddhist-practice/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:dependent-origination-explained,https://echobuddha.com/learn/buddhism-101/dependent-origination-explained/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn12/sn12.002.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:five-aggregates-buddhism,https://echobuddha.com/learn/buddhism-101/five-aggregates-buddhism/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.048.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:five-hindrances-in-buddhism,https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel026.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:five-precepts-buddhism,https://echobuddha.com/learn/buddhism-101/five-precepts-buddhism/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:four-brahmaviharas,https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/lib/authors/nyanaponika/wheel006.html; https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:how-to-practice-buddhism-at-home,https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/ptf/dhamma/sila/pancasila.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:middle-way-explained-for-beginners,https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:right-livelihood-buddhism,https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html; https://www.accesstoinsight.org/tipitaka/an/an05/an05.177.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:the-four-noble-truths-explained,https://echobuddha.com/learn/buddhism-101/the-four-noble-truths-explained/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:the-noble-eightfold-path-explained,https://echobuddha.com/learn/buddhism-101/the-noble-eightfold-path-explained/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:the-three-jewels-explained,https://echobuddha.com/learn/buddhism-101/the-three-jewels-explained/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:three-marks-of-existence,https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html; https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:threefold-training-sila-samadhi-panna,https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:what-is-buddhism,https://echobuddha.com/learn/buddhism-101/what-is-buddhism/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html; https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:what-is-impermanence,https://echobuddha.com/learn/buddhism-101/what-is-impermanence/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:what-is-karma-in-buddhism,https://echobuddha.com/learn/buddhism-101/what-is-karma-in-buddhism/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:what-is-mindfulness,https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhism-101:who-was-the-buddha,https://echobuddha.com/learn/buddhism-101/who-was-the-buddha/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary,https://echobuddha.com/learn/buddhist-dictionary/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/glossary.html; https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:anatta,https://echobuddha.com/learn/buddhist-dictionary/anatta/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn22/sn22.059.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:anicca,https://echobuddha.com/learn/buddhist-dictionary/anicca/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.20.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:compassion,https://echobuddha.com/learn/buddhist-dictionary/compassion/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:dhamma,https://echobuddha.com/learn/buddhist-dictionary/dhamma/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html; https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:dukkha,https://echobuddha.com/learn/buddhist-dictionary/dukkha/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:karma,https://echobuddha.com/learn/buddhist-dictionary/karma/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:karuna,https://echobuddha.com/learn/buddhist-dictionary/karuna/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:metta,https://echobuddha.com/learn/buddhist-dictionary/metta/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:mindfulness,https://echobuddha.com/learn/buddhist-dictionary/mindfulness/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:nirvana,https://echobuddha.com/learn/buddhist-dictionary/nirvana/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:pali-canon,https://echobuddha.com/learn/buddhist-dictionary/pali-canon/,Buddhist educational or reflective explanation,Repository source note; external review pending where claims require it,Echo Buddha Editorial,Not applicable or pending,Echo Buddha,Original reflection requiring source review for factual claims,Buddhist textual or doctrinal context,See visible page source note or external review queue,,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-original-context,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:sangha,https://echobuddha.com/learn/buddhist-dictionary/sangha/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.dhammatalks.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html; https://www.dhammatalks.org/suttas/SN/SN45_2.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:sati,https://echobuddha.com/learn/buddhist-dictionary/sati/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/dn/dn.22.0.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-dictionary:sutta,https://echobuddha.com/learn/buddhist-dictionary/sutta/,Buddhist educational or reflective explanation,Repository source note; external review pending where claims require it,Echo Buddha Editorial,Not applicable or pending,Echo Buddha,Original reflection requiring source review for factual claims,Buddhist textual or doctrinal context,See visible page source note or external review queue,,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-original-context,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:buddhist-resources,https://echobuddha.com/learn/buddhist-resources/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,suttacentral.net; www.accesstoinsight.org; www.dharma.org; www.thebuddhistsociety.org; palitextsociety.org; www.wisdomlib.org; tricycle.org; www.lionsroar.com; www.bps.lk; www.bpu.ac.lk; 84000.co; www.buddhanet.net,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://suttacentral.net/; https://www.accesstoinsight.org/; https://www.dharma.org/; https://www.thebuddhistsociety.org/; https://palitextsociety.org/; https://www.wisdomlib.org/; https://tricycle.org/beginners/; https://www.lionsroar.com/; https://www.bps.lk/; https://www.bpu.ac.lk/; https://84000.co/; https://www.buddhanet.net/,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:dhammapada-reflections,https://echobuddha.com/learn/dhammapada-reflections/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html; https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:dhammapada-reflections:avoid-evil-do-good-purify-the-mind,https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:dhammapada-reflections:better-than-a-thousand-empty-words,https://echobuddha.com/learn/dhammapada-reflections/better-than-a-thousand-empty-words/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.08.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:dhammapada-reflections:hatred-is-not-ended-by-hatred,https://echobuddha.com/learn/dhammapada-reflections/hatred-is-not-ended-by-hatred/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:dhammapada-reflections:peace-comes-from-a-trained-mind,https://echobuddha.com/learn/dhammapada-reflections/peace-comes-from-a-trained-mind/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.03.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:dhammapada-reflections:the-mind-leads-all-things,https://echobuddha.com/learn/dhammapada-reflections/the-mind-leads-all-things/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.01.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:eightfold-path,https://echobuddha.com/learn/eightfold-path/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html; https://www.accesstoinsight.org/ptf/dhamma/sacca/sacca4/samma-ajivo/index.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:four-noble-truths,https://echobuddha.com/learn/four-noble-truths/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html; https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life,https://echobuddha.com/learn/sutta-for-daily-life/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org; www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/snp/snp.1.08.than.html; https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life:buddhas-teaching-on-patience,https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/kn/dhp/dhp.14.budd.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life:dhammacakkappavattana-sutta-four-noble-truths,https://echobuddha.com/learn/sutta-for-daily-life/dhammacakkappavattana-sutta-four-noble-truths/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn56/sn56.011.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life:kalama-sutta-and-wise-thinking,https://echobuddha.com/learn/sutta-for-daily-life/kalama-sutta-and-wise-thinking/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/an/an03/an03.065.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
source:learn:sutta-for-daily-life:magga-vibhanga-sutta-eightfold-path,https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/,Buddhist educational or reflective explanation,Visible page source links,See linked source,Thanissaro Bhikkhu or Access to Insight page translator where indicated,www.accesstoinsight.org,Primary or reputable reference link visible on page,Buddhist textual or doctrinal context,See visible page source note or external review queue,https://www.accesstoinsight.org/tipitaka/sn/sn45/sn45.008.than.html,Do not reproduce long modern translations without owner/legal review.,2026-07-21,repository-reviewed-source-link-present,"Repository review does not claim Buddhist studies, clinical, or legal approval."
