"Record type","Date","Window","Query","Page","Country","Device","Clicks","Impressions","CTR","Position","Source file","Aggregation warning"
"query","","Latest 28 days","what is the middle way buddhism","","","","0","1","0%","50","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha quotes on compassion","","","","0","1","0%","52","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism delusion","","","","0","1","0%","52","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist communication","","","","0","1","0%","53","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist dhamma","","","","0","1","0%","53","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist quotes on compassion","","","","0","1","0%","54","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma buddha","","","","0","1","0%","55","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","if you are patient in one moment of anger","","","","0","1","0%","55","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism compassion quotes","","","","0","1","0%","56","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to get started with buddhism","","","","0","1","0%","57","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sutta","","","","0","1","0%","57","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","compassion in buddhism","","","","0","1","0%","59","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is dhamma in buddhism","","","","0","1","0%","59","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist 5 rules","","","","0","1","0%","60","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to get started in buddhism","","","","0","1","0%","62","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","awareness buddhism","","","","0","1","0%","63","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma means","","","","0","1","0%","63","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","meaning of dhamma","","","","0","1","0%","63","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","how to pronounce dhamma","","","","0","1","0%","64","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma meaning buddhism","","","","0","1","0%","65","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","right speech buddha","","","","0","1","0%","65","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","meaning of sangha","","","","0","1","0%","66","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","metta buddhist","","","","0","1","0%","67","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 precepts of buddhism explained","","","","0","1","0%","69","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","canon buddhism","","","","0","1","0%","70","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","eightfold path steps","","","","0","1","0%","70","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","equanimity definition buddhism","","","","0","1","0%","70","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","brahmavihara","","","","0","1","0%","71","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","define sangha","","","","0","1","0%","71","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist 4 elements of right speech","","","","0","1","0%","72","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the three poisons of buddhism","","","","0","1","0%","72","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what are the buddhist guidelines for living a good life","","","","0","1","0%","72","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 rules buddhism","","","","0","1","0%","73","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddha three poisons","","","","0","1","0%","73","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","metta buddhism","","","","0","1","0%","73","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","art wisdom standing","","","","0","1","0%","74","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist three poisons","","","","0","1","0%","74","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","metta in buddhism","","","","0","1","0%","74","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is shanga","","","","0","1","0%","74","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","pāli canon","","","","0","1","0%","75","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","dhamma meaning in english","","","","0","1","0%","76","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what are the 5 buddhist precepts","","","","0","1","0%","76","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what do you do at a buddhist temple","","","","0","1","0%","76","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what are the 5 precepts of buddhism","","","","0","1","0%","77","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism 5 rules","","","","0","1","0%","78","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism five precepts","","","","0","1","0%","78","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the sangha in buddhism","","","","0","1","0%","78","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what are the five precepts of buddhism","","","","0","1","0%","78","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhist five precepts","","","","0","1","0%","79","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the 5 buddhist precepts","","","","0","1","0%","79","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 buddhist precepts","","","","0","1","0%","80","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism 5 moral precepts","","","","0","1","0%","81","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","buddhism 5 precepts","","","","0","1","0%","81","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what are the five precepts","","","","0","1","0%","81","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha buddhism definition","","","","0","1","0%","83","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the five moral precepts","","","","0","1","0%","84","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","five moral precepts","","","","0","1","0%","85","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","five precepts of buddhism","","","","0","1","0%","85","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 precept","","","","0","1","0%","86","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 preceptos","","","","0","1","0%","86","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","five precepts of buddha","","","","0","1","0%","86","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5th precept","","","","0","1","0%","87","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","three poisons and their antidotes","","","","0","1","0%","87","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","meaning of metta","","","","0","1","0%","88","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 moral precepts","","","","0","1","0%","89","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","5 precepts","","","","0","1","0%","89","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","precepts buddhism","","","","0","1","0%","89","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","the 5 moral precepts","","","","0","1","0%","89","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","moral precept","","","","0","1","0%","90","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","three poison","","","","0","1","0%","90","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","metta meaning","","","","0","1","0%","91","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","definition of equanimity in buddhism","","","","0","1","0%","92","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","definition sangha","","","","0","1","0%","92","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha buddhist","","","","0","1","0%","92","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","ethical precepts","","","","0","1","0%","93","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha buddha","","","","0","1","0%","93","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","what is buddhist sangha","","","","0","1","0%","94","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha mean","","","","0","1","0%","95","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","with metta meaning","","","","0","1","0%","96","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sangha define","","","","0","1","0%","99","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"query","","Latest 28 days","sanghas","","","","0","1","0%","99","performance-latest-28/Queries.csv","Visible query aggregate; privacy-filtered"
"page","","Latest 28 days","","https://echobuddha.com/","","","4","46","8.7%","5.35","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/right-speech-buddhism/","","","3","178","1.69%","27.13","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/letting-go/","","","2","92","2.17%","19.68","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/patience/","","","1","115","0.87%","26.83","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/dhamma-vs-dharma/","","","1","87","1.15%","10.56","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/three-poisons-buddhism-explained/","","","1","79","1.27%","46.68","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/mindfulness/","","","1","19","5.26%","24.47","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/noble-eightfold-path-practical-guide/","","","1","12","8.33%","46.42","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/sutta-for-daily-life/metta-sutta-explained-for-daily-life/","","","1","2","50%","4.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-for-beginners/","","","0","107","0%","44.42","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/five-precepts-in-daily-life/","","","0","87","0%","53.7","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/what-is-sangha-buddhist-community/","","","0","69","0%","81.51","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhist-dictionary/dhamma/","","","0","67","0%","49.16","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/dhammapada-reflection-what-we-think/","","","0","47","0%","8.09","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/compassion/","","","0","45","0%","47.51","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/dhammapada-verse-1-meaning/","","","0","34","0%","7.29","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/sutta-for-daily-life/magga-vibhanga-sutta-eightfold-path/","","","0","23","0%","10.87","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/compassion-in-buddhism-beginner-guide/","","","0","22","0%","49.32","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/threefold-training-sila-samadhi-panna/","","","0","21","0%","7.14","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhist-dictionary/sutta/","","","0","21","0%","19","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/middle-way-explained-for-beginners/","","","0","15","0%","51.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/eightfold-path/","","","0","14","0%","17.64","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/visiting-a-buddhist-temple-respectfully/","","","0","14","0%","22.43","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/awareness/","","","0","12","0%","28","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/about/","","","0","11","0%","10.64","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhist-dictionary/pali-canon/","","","0","11","0%","54.91","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/four-brahmaviharas/","","","0","11","0%","60.64","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/today/","","","0","9","0%","18.11","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhist-dictionary/metta/","","","0","9","0%","76.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/how-to-let-go-of-attachment-in-buddhism/","","","0","8","0%","25.62","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/wisdom/wisdom-is-the-art-of-meeting-life-without-adding/","","","0","8","0%","33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/","","","0","7","0%","6","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/practice/","","","0","7","0%","9.86","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/eightfold-path-explained-daily-life/","","","0","7","0%","12.43","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/letting-go/you-do-not-need-to-carry-every-thought-that/","","","0","7","0%","21.71","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/meditation/","","","0","7","0%","23","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/how-to-practice-non-attachment/","","","0","6","0%","12","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/what-is-buddhism-beginner-guide/","","","0","6","0%","19.17","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/meditation-guide/","","","0","6","0%","23.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/wisdom/","","","0","6","0%","25","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/compassion/let-kindness-be-the-echo-you-leave-in-every/","","","0","6","0%","28.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/practice/the-path-is-not-far-away-it-is-the/","","","0","6","0%","28.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/thoughts-are-visitors/","","","0","5","0%","4","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/how-to-practice-buddhism-at-home/","","","0","5","0%","17","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/four-noble-truths/","","","0","5","0%","23.2","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/awareness/small-acts-of-attention-can-turn-an-ordinary-day/","","","0","5","0%","24.4","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/mindfulness/a-peaceful-mind-begins-with-one-honest-breath/","","","0","5","0%","24.4","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/category/buddhist-wisdom/","","","0","5","0%","39","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/patience-before-anger-speaks/","","","0","5","0%","43.6","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/","","","0","4","0%","10.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/meditation/","","","0","4","0%","11","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/mindful-email-and-texting/","","","0","4","0%","11.25","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/editorial-policy/","","","0","4","0%","11.75","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/patience/when-anger-rises-pause-long-enough-to-see-the/","","","0","4","0%","48.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/right-livelihood-buddhism/","","","0","3","0%","6.67","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/wisdom/karma-begins-in-intention/","","","0","3","0%","6.67","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/contact/","","","0","3","0%","8","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/privacy-policy/","","","0","3","0%","10.67","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/mindful-living/","","","0","3","0%","15","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/terms-of-use/","","","0","3","0%","22.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/right-speech-examples/","","","0","3","0%","24.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/what-is-mindfulness/","","","0","3","0%","29","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/five-hindrances-in-buddhism/","","","0","3","0%","55.33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/equanimity-in-buddhism/","","","0","3","0%","75.67","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/","","","0","2","0%","6","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/dhammapada-reflections/avoid-evil-do-good-purify-the-mind/","","","0","2","0%","6.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/disclaimer/","","","0","2","0%","9","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/renewal/","","","0","2","0%","9.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/four-noble-truths-explained-simply/","","","0","2","0%","14.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/compassion-with-boundaries/","","","0","2","0%","18.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/mindfulness/listen-before-answering/","","","0","2","0%","20.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/wisdom/wise-silence/","","","0","2","0%","24","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/impermanence-in-buddhism/","","","0","2","0%","34","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/begin-again-without-shame/","","","0","2","0%","40.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/meditation/silence-is-not-empty-when-the-heart-is-listening/","","","0","2","0%","42.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/sutta-for-daily-life/buddhas-teaching-on-patience/","","","0","2","0%","47","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/eightfold-path-explained/","","","0","2","0%","77.5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/loving-kindness-meditation-guide/","","","0","1","0%","4","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/mindfulness/begin-the-day-with-awareness/","","","0","1","0%","4","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/category/meditation/","","","0","1","0%","5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/how-to-meditate-for-beginners/","","","0","1","0%","5","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/walking-meditation-step-by-step/","","","0","1","0%","6","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/impermanence/change-is-how-life-continues/","","","0","1","0%","6","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/impermanence/the-passing-of-joy-teaches-gratitude-the-passing-of/","","","0","1","0%","7","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/corrections/","","","0","1","0%","8","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/wisdom/the-lesson-repeats-until-attention-replaces-habit/","","","0","1","0%","8","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/buddhist-wisdom-for-overthinking/","","","0","1","0%","10","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/impermanence/","","","0","1","0%","10","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/practice/small-actions-shape-the-mind/","","","0","1","0%","10","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quotes/wisdom/wisdom-sees-clearly/","","","0","1","0%","10","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/meditation-safety/","","","0","1","0%","23","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/impermanence-softens-clinging/","","","0","1","0%","24","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/rest-without-escape/","","","0","1","0%","25","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/gratitude-for-change/","","","0","1","0%","26","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/walking-as-practice/","","","0","1","0%","27","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/quote-attribution-policy/","","","0","1","0%","27","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/anger-as-a-signal/","","","0","1","0%","30","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/compassion-as-a-daily-discipline/","","","0","1","0%","31","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/daily-reflections/small-actions-shape-the-mind/","","","0","1","0%","33","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/learn/buddhism-101/three-marks-of-existence/","","","0","1","0%","35","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/buddhist-sources-and-citations/","","","0","1","0%","36","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/first-week-buddhist-practice/","","","0","1","0%","39","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/non-attachment-in-relationships/","","","0","1","0%","41","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/meditation/10-minute-meditation-practice/","","","0","1","0%","44","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/buddhist-teachings-on-forgiveness/","","","0","1","0%","45","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/meditation/when-meditation-feels-hard/","","","0","1","0%","45","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/meditation/meditation-posture-for-beginners/","","","0","1","0%","46","performance-latest-28/Pages.csv","Page aggregate; not property total"
"page","","Latest 28 days","","https://echobuddha.com/articles/right-livelihood-modern-life/","","","0","1","0%","48","performance-latest-28/Pages.csv","Page aggregate; not property total"
