articleA,articleB,phase1Scope,beforeEditorialOverlap,afterEditorialOverlap,beforeOverallBodySimilarity,afterOverallBodySimilarity,deltaOverallBodySimilarity,beforeExactDuplicatedSentenceCount,afterExactDuplicatedSentenceCount,beforeNearDuplicatedParagraphCount,afterNearDuplicatedParagraphCount
compassion-as-a-daily-discipline,mindfulness-vs-meditation,In scope pair,Low,Low,0.153,0.139,-0.014,0,0,0,0
compassion-as-a-daily-discipline,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.156,0.147,-0.009,0,0,0,0
compassion-as-a-daily-discipline,right-speech-buddhism,In scope pair,Low,Low,0.19,0.187,-0.003,0,0,0,0
three-ways-to-practice-patience,compassion-as-a-daily-discipline,In scope pair,Medium,Low,0.284,0.218,-0.066,8,0,2,0
compassion-as-a-daily-discipline,walking-meditation-step-by-step,In scope pair,Medium,Low,0.236,0.153,-0.083,8,0,2,0
compassion-as-a-daily-discipline,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.189,0.174,-0.015,0,0,0,0
compassion-as-a-daily-discipline,what-is-karma-in-buddhism,In scope pair,Low,Low,0.171,0.163,-0.008,0,0,0,0
creating-a-peaceful-corner-at-home,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.115,0.1,-0.015,0,0,0,0
dhammapada-reflection-trained-mind,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.14,0.14,0,0,0,0,0
dhammapada-reflection-what-we-think,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.131,0.131,0,0,0,0,0
eightfold-path-explained,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.14,0.14,0,0,0,0,0
eightfold-path-explained-daily-life,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.131,0.119,-0.012,0,0,0,0
four-noble-truths-explained,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
compassion-in-buddhism-beginner-guide,four-noble-truths-explained-simply,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.157,0.157,0,0,0,0,0
how-to-meditate-for-anxiety,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.12,0.107,-0.013,0,0,0,0
how-to-meditate-for-beginners,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.109,0.109,0,0,0,0,0
how-to-practice-non-attachment,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.141,0.135,-0.006,0,0,0,0
impermanence-in-buddhism,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.139,0.139,0,0,0,0,0
compassion-in-buddhism-beginner-guide,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
letting-go-without-giving-up,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.138,0.122,-0.016,0,0,0,0
loving-kindness-meditation-beginners,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.197,0.189,-0.008,0,0,0,0
loving-kindness-meditation-guide,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.22,0.22,0,0,0,0,0
metta-meditation-script,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.175,0.175,0,0,0,0,0
mindful-listening-in-everyday-life,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.172,0.163,-0.009,0,0,0,0
mindfulness-for-better-sleep,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.111,0.091,-0.02,0,0,0,0
mindfulness-morning-routine,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.122,0.106,-0.016,0,0,0,0
mindfulness-of-breathing-guide,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.107,0.107,0,0,0,0,0
mindfulness-vs-meditation,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.128,0.128,0,0,0,0,0
compassion-in-buddhism-beginner-guide,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.14,0.14,0,0,0,0,0
right-speech-buddhism,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.156,0.156,0,0,0,0,0
three-ways-to-practice-patience,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.155,0.145,-0.01,0,0,0,0
walking-meditation-step-by-step,compassion-in-buddhism-beginner-guide,In scope pair,Low,Low,0.111,0.096,-0.015,0,0,0,0
compassion-in-buddhism-beginner-guide,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.193,0.193,0,0,0,0,0
what-is-karma-in-buddhism,compassion-in-buddhism-beginner-guide,Context pair,Low,Low,0.159,0.159,0,0,0,0,0
creating-a-peaceful-corner-at-home,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.155,0.135,-0.02,0,0,0,0
creating-a-peaceful-corner-at-home,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.124,0.106,-0.018,0,0,0,0
creating-a-peaceful-corner-at-home,eightfold-path-explained,In scope pair,Low,Low,0.14,0.122,-0.018,0,0,0,0
creating-a-peaceful-corner-at-home,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.229,0.149,-0.08,8,0,2,0
creating-a-peaceful-corner-at-home,four-noble-truths-explained,In scope pair,Low,Low,0.11,0.098,-0.012,0,0,0,0
creating-a-peaceful-corner-at-home,four-noble-truths-explained-simply,In scope pair,Low,Low,0.118,0.097,-0.021,0,0,0,0
creating-a-peaceful-corner-at-home,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.108,0.098,-0.01,0,0,0,0
creating-a-peaceful-corner-at-home,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.268,0.206,-0.062,8,0,2,0
creating-a-peaceful-corner-at-home,how-to-meditate-for-beginners,In scope pair,Low,Low,0.188,0.18,-0.008,0,0,0,0
creating-a-peaceful-corner-at-home,how-to-practice-non-attachment,In scope pair,Medium,Low,0.211,0.132,-0.079,8,0,2,0
creating-a-peaceful-corner-at-home,impermanence-in-buddhism,In scope pair,Low,Low,0.122,0.103,-0.019,0,0,0,0
creating-a-peaceful-corner-at-home,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.11,0.1,-0.01,0,0,0,0
creating-a-peaceful-corner-at-home,letting-go-without-giving-up,In scope pair,Medium,Low,0.217,0.138,-0.079,8,0,2,0
creating-a-peaceful-corner-at-home,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.253,0.168,-0.085,8,0,2,0
creating-a-peaceful-corner-at-home,loving-kindness-meditation-guide,In scope pair,Low,Low,0.147,0.134,-0.013,0,0,0,0
creating-a-peaceful-corner-at-home,metta-meditation-script,In scope pair,Low,Low,0.161,0.15,-0.011,0,0,0,0
creating-a-peaceful-corner-at-home,mindful-listening-in-everyday-life,In scope pair,Medium,Low,0.225,0.147,-0.078,8,0,2,0
creating-a-peaceful-corner-at-home,mindfulness-for-better-sleep,In scope pair,Medium,Low,0.258,0.183,-0.075,8,0,2,0
creating-a-peaceful-corner-at-home,mindfulness-morning-routine,In scope pair,Medium,Low,0.281,0.207,-0.074,8,0,2,0
creating-a-peaceful-corner-at-home,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.155,0.145,-0.01,0,0,0,0
creating-a-peaceful-corner-at-home,mindfulness-vs-meditation,In scope pair,Low,Low,0.219,0.2,-0.019,0,0,0,0
creating-a-peaceful-corner-at-home,noble-eightfold-path-practical-guide,In scope pair,Low,Low,0.118,0.099,-0.019,0,0,0,0
creating-a-peaceful-corner-at-home,right-speech-buddhism,In scope pair,Low,Low,0.121,0.103,-0.018,0,0,0,0
creating-a-peaceful-corner-at-home,three-ways-to-practice-patience,In scope pair,Medium,Low,0.246,0.164,-0.082,8,0,2,0
creating-a-peaceful-corner-at-home,walking-meditation-step-by-step,In scope pair,Medium,Low,0.284,0.214,-0.07,8,0,2,0
creating-a-peaceful-corner-at-home,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.159,0.13,-0.029,0,0,0,0
creating-a-peaceful-corner-at-home,what-is-karma-in-buddhism,In scope pair,Low,Low,0.111,0.087,-0.024,0,0,0,0
dhammapada-reflection-trained-mind,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.227,0.227,0,0,0,1,1
eightfold-path-explained,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.17,0.17,0,0,0,0,0
eightfold-path-explained-daily-life,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.186,0.174,-0.012,0,0,0,0
four-noble-truths-explained,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.126,0.126,0,0,0,0,0
dhammapada-reflection-trained-mind,four-noble-truths-explained-simply,Context pair,Low,Low,0.146,0.146,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.139,0.139,0,0,0,0,0
how-to-meditate-for-anxiety,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.166,0.143,-0.023,0,0,0,0
dhammapada-reflection-trained-mind,how-to-meditate-for-beginners,Context pair,Low,Low,0.191,0.191,0,0,0,0,0
how-to-practice-non-attachment,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.147,0.133,-0.014,0,0,0,0
impermanence-in-buddhism,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.13,0.13,0,0,0,0,0
dhammapada-reflection-trained-mind,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.143,0.143,0,0,0,0,0
letting-go-without-giving-up,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.162,0.14,-0.022,0,0,0,0
loving-kindness-meditation-beginners,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.147,0.128,-0.019,0,0,0,0
dhammapada-reflection-trained-mind,loving-kindness-meditation-guide,Context pair,Low,Low,0.129,0.129,0,0,0,0,0
metta-meditation-script,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.148,0.148,0,0,0,0,0
mindful-listening-in-everyday-life,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.149,0.136,-0.013,0,0,0,0
mindfulness-for-better-sleep,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.158,0.142,-0.016,0,0,0,0
mindfulness-morning-routine,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.174,0.156,-0.018,0,0,0,0
dhammapada-reflection-trained-mind,mindfulness-of-breathing-guide,Context pair,Low,Low,0.174,0.174,0,0,0,0,0
mindfulness-vs-meditation,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.198,0.198,0,0,0,0,0
dhammapada-reflection-trained-mind,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.168,0.168,0,0,0,0,0
right-speech-buddhism,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.124,0.124,0,0,0,0,0
three-ways-to-practice-patience,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.181,0.171,-0.01,0,0,0,0
walking-meditation-step-by-step,dhammapada-reflection-trained-mind,In scope pair,Low,Low,0.164,0.145,-0.019,0,0,0,0
dhammapada-reflection-trained-mind,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.199,0.199,0,0,0,0,0
what-is-karma-in-buddhism,dhammapada-reflection-trained-mind,Context pair,Low,Low,0.168,0.168,0,0,0,0,0
eightfold-path-explained,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.15,0.15,0,0,0,0,0
eightfold-path-explained-daily-life,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.162,0.152,-0.01,0,0,0,0
four-noble-truths-explained,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
dhammapada-reflection-what-we-think,four-noble-truths-explained-simply,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.133,0.133,0,0,0,0,0
how-to-meditate-for-anxiety,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.154,0.135,-0.019,0,0,0,0
dhammapada-reflection-what-we-think,how-to-meditate-for-beginners,Context pair,Low,Low,0.135,0.135,0,0,0,0,0
how-to-practice-non-attachment,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.151,0.139,-0.012,0,0,0,0
impermanence-in-buddhism,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.139,0.139,0,0,0,0,0
dhammapada-reflection-what-we-think,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.139,0.139,0,0,0,0,0
letting-go-without-giving-up,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.147,0.131,-0.016,0,0,0,0
loving-kindness-meditation-beginners,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.121,0.096,-0.025,0,0,0,0
dhammapada-reflection-what-we-think,loving-kindness-meditation-guide,Context pair,Low,Low,0.112,0.112,0,0,0,0,0
metta-meditation-script,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
mindful-listening-in-everyday-life,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.144,0.132,-0.012,0,0,0,0
mindfulness-for-better-sleep,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.147,0.124,-0.023,0,0,0,0
mindfulness-morning-routine,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.142,0.125,-0.017,0,0,0,0
dhammapada-reflection-what-we-think,mindfulness-of-breathing-guide,Context pair,Low,Low,0.121,0.121,0,0,0,0,0
mindfulness-vs-meditation,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.138,0.138,0,0,0,0,0
dhammapada-reflection-what-we-think,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.134,0.134,0,0,0,0,0
right-speech-buddhism,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.141,0.141,0,0,0,0,0
three-ways-to-practice-patience,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.151,0.142,-0.009,0,0,0,0
walking-meditation-step-by-step,dhammapada-reflection-what-we-think,In scope pair,Low,Low,0.12,0.105,-0.015,0,0,0,0
dhammapada-reflection-what-we-think,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.197,0.197,0,0,0,0,0
what-is-karma-in-buddhism,dhammapada-reflection-what-we-think,Context pair,Low,Low,0.188,0.188,0,0,0,0,0
eightfold-path-explained-daily-life,four-noble-truths-explained,In scope pair,Low,Low,0.185,0.174,-0.011,0,0,0,0
eightfold-path-explained-daily-life,four-noble-truths-explained-simply,In scope pair,Low,Low,0.181,0.166,-0.015,0,0,0,0
eightfold-path-explained-daily-life,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.13,0.122,-0.008,0,0,0,0
eightfold-path-explained-daily-life,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.235,0.151,-0.084,8,0,2,0
eightfold-path-explained-daily-life,how-to-meditate-for-beginners,In scope pair,Low,Low,0.141,0.129,-0.012,0,0,0,0
how-to-practice-non-attachment,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.252,0.182,-0.07,8,0,2,0
eightfold-path-explained-daily-life,impermanence-in-buddhism,In scope pair,Low,Low,0.143,0.129,-0.014,0,0,0,0
eightfold-path-explained-daily-life,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.109,0.096,-0.013,0,0,0,0
letting-go-without-giving-up,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.249,0.186,-0.063,8,0,2,0
eightfold-path-explained-daily-life,loving-kindness-meditation-beginners,In scope pair,Medium,Low,0.235,0.156,-0.079,8,0,2,0
eightfold-path-explained-daily-life,loving-kindness-meditation-guide,In scope pair,Low,Low,0.125,0.114,-0.011,0,0,0,0
eightfold-path-explained-daily-life,metta-meditation-script,In scope pair,Low,Low,0.141,0.135,-0.006,0,0,0,0
mindful-listening-in-everyday-life,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.241,0.173,-0.068,8,0,2,0
mindfulness-for-better-sleep,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.243,0.157,-0.086,8,0,2,0
mindfulness-morning-routine,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.265,0.193,-0.072,8,0,2,0
eightfold-path-explained-daily-life,mindfulness-of-breathing-guide,In scope pair,Low,Low,0.141,0.13,-0.011,0,0,0,0
eightfold-path-explained-daily-life,mindfulness-vs-meditation,In scope pair,Low,Low,0.208,0.193,-0.015,0,0,0,0
eightfold-path-explained-daily-life,noble-eightfold-path-practical-guide,In scope pair,Medium,Medium,0.298,0.314,0.016,0,0,0,0
eightfold-path-explained-daily-life,right-speech-buddhism,In scope pair,Low,Low,0.201,0.203,0.002,0,0,0,0
three-ways-to-practice-patience,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.247,0.179,-0.068,8,0,2,0
walking-meditation-step-by-step,eightfold-path-explained-daily-life,In scope pair,Medium,Low,0.254,0.181,-0.073,8,0,2,0
eightfold-path-explained-daily-life,what-is-buddhism-beginner-guide,In scope pair,Low,Low,0.228,0.211,-0.017,0,0,0,0
eightfold-path-explained-daily-life,what-is-karma-in-buddhism,In scope pair,Low,Low,0.154,0.143,-0.011,0,0,0,0
eightfold-path-explained-daily-life,eightfold-path-explained,In scope pair,Medium,Medium,0.331,0.344,0.013,0,0,0,0
four-noble-truths-explained,eightfold-path-explained,Context pair,Low,Low,0.188,0.188,0,0,0,0,0
eightfold-path-explained,four-noble-truths-explained-simply,Context pair,Low,Low,0.16,0.16,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,eightfold-path-explained,Context pair,Low,Low,0.127,0.127,0,0,0,0,0
how-to-meditate-for-anxiety,eightfold-path-explained,In scope pair,Low,Low,0.154,0.133,-0.021,0,0,0,0
eightfold-path-explained,how-to-meditate-for-beginners,Context pair,Low,Low,0.119,0.119,0,0,0,0,0
how-to-practice-non-attachment,eightfold-path-explained,In scope pair,Low,Low,0.148,0.136,-0.012,0,0,0,0
impermanence-in-buddhism,eightfold-path-explained,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
eightfold-path-explained,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.104,0.104,0,0,0,0,0
letting-go-without-giving-up,eightfold-path-explained,In scope pair,Low,Low,0.147,0.132,-0.015,0,0,0,0
loving-kindness-meditation-beginners,eightfold-path-explained,In scope pair,Low,Low,0.156,0.137,-0.019,0,0,0,0
eightfold-path-explained,loving-kindness-meditation-guide,Context pair,Low,Low,0.134,0.134,0,0,0,0,0
metta-meditation-script,eightfold-path-explained,Context pair,Low,Low,0.142,0.142,0,0,0,0,0
mindful-listening-in-everyday-life,eightfold-path-explained,In scope pair,Low,Low,0.158,0.152,-0.006,0,0,0,0
mindfulness-for-better-sleep,eightfold-path-explained,In scope pair,Low,Low,0.146,0.126,-0.02,0,0,0,0
mindfulness-morning-routine,eightfold-path-explained,In scope pair,Low,Low,0.162,0.143,-0.019,0,0,0,0
eightfold-path-explained,mindfulness-of-breathing-guide,Context pair,Low,Low,0.126,0.126,0,0,0,0,0
mindfulness-vs-meditation,eightfold-path-explained,Context pair,Low,Low,0.183,0.183,0,0,0,0,0
eightfold-path-explained,noble-eightfold-path-practical-guide,Context pair,Medium,Medium,0.381,0.381,0,0,0,0,0
right-speech-buddhism,eightfold-path-explained,Context pair,Low,Low,0.274,0.274,0,0,0,0,0
three-ways-to-practice-patience,eightfold-path-explained,In scope pair,Low,Low,0.15,0.144,-0.006,0,0,0,0
walking-meditation-step-by-step,eightfold-path-explained,In scope pair,Low,Low,0.163,0.149,-0.014,0,0,0,0
eightfold-path-explained,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.213,0.213,0,0,0,0,0
what-is-karma-in-buddhism,eightfold-path-explained,Context pair,Low,Low,0.161,0.161,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,four-noble-truths-explained-simply,Context pair,Low,Low,0.184,0.184,0,0,0,0,0
how-to-meditate-for-anxiety,four-noble-truths-explained-simply,In scope pair,Low,Low,0.119,0.104,-0.015,0,0,0,0
how-to-meditate-for-beginners,four-noble-truths-explained-simply,Context pair,Low,Low,0.101,0.101,0,0,0,0,0
how-to-practice-non-attachment,four-noble-truths-explained-simply,In scope pair,Low,Low,0.176,0.166,-0.01,0,0,0,0
impermanence-in-buddhism,four-noble-truths-explained-simply,Context pair,Low,Low,0.16,0.16,0,0,0,0,0
impermanence-in-buddhism-letting-go,four-noble-truths-explained-simply,Context pair,Low,Low,0.169,0.169,0,0,0,0,0
letting-go-without-giving-up,four-noble-truths-explained-simply,In scope pair,Low,Low,0.158,0.146,-0.012,0,0,0,0
loving-kindness-meditation-beginners,four-noble-truths-explained-simply,In scope pair,Low,Low,0.124,0.106,-0.018,0,0,0,0
loving-kindness-meditation-guide,four-noble-truths-explained-simply,Context pair,Low,Low,0.109,0.109,0,0,0,0,0
metta-meditation-script,four-noble-truths-explained-simply,Context pair,Low,Low,0.127,0.127,0,0,0,0,0
mindful-listening-in-everyday-life,four-noble-truths-explained-simply,In scope pair,Low,Low,0.117,0.101,-0.016,0,0,0,0
mindfulness-for-better-sleep,four-noble-truths-explained-simply,In scope pair,Low,Low,0.108,0.086,-0.022,0,0,0,0
mindfulness-morning-routine,four-noble-truths-explained-simply,In scope pair,Low,Low,0.118,0.097,-0.021,0,0,0,0
mindfulness-of-breathing-guide,four-noble-truths-explained-simply,Context pair,Low,Low,0.09,0.09,0,0,0,0,0
mindfulness-vs-meditation,four-noble-truths-explained-simply,Context pair,Low,Low,0.136,0.136,0,0,0,0,0
noble-eightfold-path-practical-guide,four-noble-truths-explained-simply,Context pair,Low,Low,0.161,0.161,0,0,0,0,0
right-speech-buddhism,four-noble-truths-explained-simply,Context pair,Low,Low,0.109,0.109,0,0,0,0,0
three-ways-to-practice-patience,four-noble-truths-explained-simply,In scope pair,Low,Low,0.128,0.112,-0.016,0,0,0,0
walking-meditation-step-by-step,four-noble-truths-explained-simply,In scope pair,Low,Low,0.128,0.11,-0.018,0,0,0,0
four-noble-truths-explained-simply,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.217,0.217,0,0,0,0,0
what-is-karma-in-buddhism,four-noble-truths-explained-simply,Context pair,Low,Low,0.128,0.128,0,0,0,0,0
four-noble-truths-explained,four-noble-truths-explained-simply,Context pair,Medium,Medium,0.344,0.344,0,0,0,0,0
four-noble-truths-explained,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.166,0.166,0,0,0,0,0
how-to-meditate-for-anxiety,four-noble-truths-explained,In scope pair,Low,Low,0.14,0.129,-0.011,0,0,0,0
four-noble-truths-explained,how-to-meditate-for-beginners,Context pair,Low,Low,0.094,0.094,0,0,0,0,0
how-to-practice-non-attachment,four-noble-truths-explained,In scope pair,Low,Low,0.152,0.15,-0.002,0,0,0,0
four-noble-truths-explained,impermanence-in-buddhism,Context pair,Low,Low,0.157,0.157,0,0,0,0,0
four-noble-truths-explained,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.151,0.151,0,0,0,0,0
letting-go-without-giving-up,four-noble-truths-explained,In scope pair,Low,Low,0.15,0.142,-0.008,0,0,0,0
loving-kindness-meditation-beginners,four-noble-truths-explained,In scope pair,Low,Low,0.126,0.113,-0.013,0,0,0,0
four-noble-truths-explained,loving-kindness-meditation-guide,Context pair,Low,Low,0.11,0.11,0,0,0,0,0
metta-meditation-script,four-noble-truths-explained,Context pair,Low,Low,0.132,0.132,0,0,0,0,0
mindful-listening-in-everyday-life,four-noble-truths-explained,In scope pair,Low,Low,0.127,0.12,-0.007,0,0,0,0
mindfulness-for-better-sleep,four-noble-truths-explained,In scope pair,Low,Low,0.117,0.101,-0.016,0,0,0,0
mindfulness-morning-routine,four-noble-truths-explained,In scope pair,Low,Low,0.124,0.111,-0.013,0,0,0,0
four-noble-truths-explained,mindfulness-of-breathing-guide,Context pair,Low,Low,0.109,0.109,0,0,0,0,0
mindfulness-vs-meditation,four-noble-truths-explained,Context pair,Low,Low,0.141,0.141,0,0,0,0,0
four-noble-truths-explained,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.159,0.159,0,0,0,0,0
four-noble-truths-explained,right-speech-buddhism,Context pair,Low,Low,0.14,0.14,0,0,0,0,0
three-ways-to-practice-patience,four-noble-truths-explained,In scope pair,Low,Low,0.137,0.132,-0.005,0,0,0,0
walking-meditation-step-by-step,four-noble-truths-explained,In scope pair,Low,Low,0.124,0.116,-0.008,0,0,0,0
four-noble-truths-explained,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.216,0.216,0,0,0,0,0
four-noble-truths-explained,what-is-karma-in-buddhism,Context pair,Low,Low,0.139,0.139,0,0,0,0,0
how-to-meditate-for-anxiety,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.127,0.117,-0.01,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,how-to-meditate-for-beginners,Context pair,Low,Low,0.103,0.103,0,0,0,0,0
how-to-practice-non-attachment,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.253,0.266,0.013,0,0,0,0
impermanence-in-buddhism,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.212,0.212,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,impermanence-in-buddhism-letting-go,Context pair,Low,Low,0.211,0.211,0,0,0,0,0
letting-go-without-giving-up,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.244,0.247,0.003,0,0,0,0
loving-kindness-meditation-beginners,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.14,0.131,-0.009,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,loving-kindness-meditation-guide,Context pair,Low,Low,0.12,0.12,0,0,0,0,0
metta-meditation-script,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.14,0.14,0,0,0,0,0
mindful-listening-in-everyday-life,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.133,0.124,-0.009,0,0,0,0
mindfulness-for-better-sleep,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.125,0.115,-0.01,0,0,0,0
mindfulness-morning-routine,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.112,0.104,-0.008,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,mindfulness-of-breathing-guide,Context pair,Low,Low,0.114,0.114,0,0,0,0,0
mindfulness-vs-meditation,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.133,0.133,0,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,noble-eightfold-path-practical-guide,Context pair,Low,Low,0.115,0.115,0,0,0,0,0
right-speech-buddhism,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.121,0.121,0,0,0,0,0
three-ways-to-practice-patience,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.152,0.148,-0.004,0,0,0,0
walking-meditation-step-by-step,how-to-let-go-of-attachment-in-buddhism,In scope pair,Low,Low,0.113,0.103,-0.01,0,0,0,0
how-to-let-go-of-attachment-in-buddhism,what-is-buddhism-beginner-guide,Context pair,Low,Low,0.185,0.185,0,0,0,0,0
what-is-karma-in-buddhism,how-to-let-go-of-attachment-in-buddhism,Context pair,Low,Low,0.137,0.137,0,0,0,0,0
how-to-meditate-for-anxiety,how-to-meditate-for-beginners,In scope pair,Low,Low,0.215,0.208,-0.007,0,0,0,0
how-to-practice-non-attachment,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.227,0.155,-0.072,8,0,2,0
how-to-meditate-for-anxiety,impermanence-in-buddhism,In scope pair,Low,Low,0.145,0.135,-0.01,0,0,0,0
how-to-meditate-for-anxiety,impermanence-in-buddhism-letting-go,In scope pair,Low,Low,0.119,0.11,-0.009,0,0,0,0
letting-go-without-giving-up,how-to-meditate-for-anxiety,In scope pair,Medium,Low,0.237,0.16,-0.077,8,0,2,0
